State,City,College,Allocation_Subcategory,Gift_Allocation,Major,Gift_Amount
TX,Dallas,College of Engineering,Minority Scholarship Fund,Scholarship,Electrical Engineering,9831
TX,Dallas,College of Engineering,College of Agriculture and Natural Resources,Scholarship,Electrical Engineering,11985
TX,Dallas,College of Engineering,College of Social Science,Scholarship,Electrical Engineering,22456
CO,Colorado Springs,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Horticulture,666
CO,Colorado Springs,College of Agriculture and Natural Resources,University Libraries,Campus Resource,Horticulture,5074
CO,Colorado Springs,College of Agriculture and Natural Resources,College of Engineering,Scholarship,Horticulture,27173
IL,Chicago,College of Music,Parents Association,Campus Resource,Composition,640
IL,Chicago,College of Music,College of Natural Science,Scholarship,Composition,1483
IL,Chicago,College of Music,University Annual Fund,Endowment,Composition,12551
NC,Durham,College of Natural Science,Parents Association,Campus Resource,Microbiology,2961
NC,Durham,College of Natural Science,In-State Scholarship Fund,Scholarship,Microbiology,1441
NC,Durham,College of Natural Science,Minority Scholarship Fund,Scholarship,Microbiology,19868
IN,Indianapolis,College of Engineering,Diversity Fund,Endowment,Mechanical Engineering,717
IN,Indianapolis,College of Engineering,Diversity Fund,Endowment,Mechanical Engineering,8026
IN,Indianapolis,College of Engineering,University Annual Fund,Endowment,Mechanical Engineering,26031
OR,Eugene,College of Natural Science,University Annual Fund,Endowment,Human Biology,7398
OR,Eugene,College of Natural Science,University Libraries,Campus Resource,Human Biology,8223
OR,Eugene,College of Natural Science,Campus Museums,Campus Resource,Human Biology,10555
CO,Denver,College of Social Science,College of Music,Scholarship,Public Policy,2746.5
CO,Denver,College of Social Science,In-State Scholarship Fund,Scholarship,Public Policy,12558
CO,Denver,College of Social Science,College of Arts and Sciences,Scholarship,Public Policy,37383
AZ,Phoenix,College of Nursing,College of Business,Scholarship,Nursing,11644
AZ,Phoenix,College of Nursing,College of Business,Scholarship,Nursing,583
AZ,Phoenix,College of Nursing,University Annual Fund,Endowment,Nursing,11876
CO,Denver,College of Education,College of Social Science,Scholarship,Special Education-Learning Disabilities,13330.5
CO,Denver,College of Education,College of Social Science,Scholarship,Special Education-Learning Disabilities,1783.5
CO,Denver,College of Education,Diversity Fund,Endowment,Special Education-Learning Disabilities,34047
TN,Memphis,College of Natural Science,Athletics,Campus Resource,Zoology,8248
TN,Memphis,College of Natural Science,College of Social Science,Scholarship,Zoology,2405
TN,Memphis,College of Natural Science,Diversity Fund,Endowment,Zoology,17529
UT,Salt Lake City,College of Agriculture and Natural Resources,College of Education,Scholarship,Interior Design,11470
UT,Salt Lake City,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Interior Design,10529
UT,Salt Lake City,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Interior Design,21798
NV,Henderson,College of Communication Arts and Sciences,Parents Association,Campus Resource,Advertising,2898
NV,Henderson,College of Communication Arts and Sciences,College of Social Science,Scholarship,Advertising,5336
NV,Henderson,College of Communication Arts and Sciences,Trustees Fund,Endowment,Advertising,27569
CO,Denver,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Interior Design,5244
CO,Denver,College of Agriculture and Natural Resources,Campus Museums,Campus Resource,Interior Design,14374.5
CO,Denver,College of Agriculture and Natural Resources,Parents Association,Campus Resource,Interior Design,25293
TX,Dallas,College of Agriculture and Natural Resources,Parents Association,Campus Resource,Agriculture and Natural Resources-No Preference,4967
TX,Dallas,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Agriculture and Natural Resources-No Preference,2573
TX,Dallas,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Agriculture and Natural Resources-No Preference,22753
OH,Cincinnati,College of Social Science,College of Communication Arts and Sciences,Scholarship,Interdisciplinary Studies in Social Science - Social Science Education,9397
OH,Cincinnati,College of Social Science,Trustees Fund,Endowment,Interdisciplinary Studies in Social Science - Social Science Education,780
OH,Cincinnati,College of Social Science,Alumni Association,Campus Resource,Interdisciplinary Studies in Social Science - Social Science Education,12079
CO,Denver,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Urban and Regional Planning,14890.5
CO,Denver,College of Social Science,University Libraries,Campus Resource,Urban and Regional Planning,6121.5
CO,Denver,College of Social Science,College of Arts and Sciences,Scholarship,Urban and Regional Planning,36780
CA,Los Angeles,College of Natural Science,College of Arts and Sciences,Scholarship,Preoptometry,11659
CA,Los Angeles,College of Natural Science,Trustees Fund,Endowment,Preoptometry,3148
CA,Los Angeles,College of Natural Science,Honors Program,Campus Resource,Preoptometry,20008
CA,San Francisco,College of Engineering,Faculty Chair Endowments,Endowment,Computer Science,8670
CA,San Francisco,College of Engineering,Diversity Fund,Endowment,Computer Science,7776
CA,San Francisco,College of Engineering,University Annual Fund,Endowment,Computer Science,23796
TN,Memphis,College of Natural Science,In-State Scholarship Fund,Scholarship,Biological Science Interdepartmental,5473
TN,Memphis,College of Natural Science,Campus Recreation,Campus Resource,Biological Science Interdepartmental,7220
TN,Memphis,College of Natural Science,College of Political Science,Scholarship,Biological Science Interdepartmental,12711
IL,Chicago,College of Music,Athletics,Campus Resource,Music Performance,551
IL,Chicago,College of Music,Faculty Chair Endowments,Endowment,Music Performance,9411
IL,Chicago,College of Music,College of Natural Science,Scholarship,Music Performance,27140
KS,Kansas City,College of Political Science,Faculty Chair Endowments,Endowment,Comparative Cultures and Politics,11209
KS,Kansas City,College of Political Science,Alumni Association,Campus Resource,Comparative Cultures and Politics,1454
KS,Kansas City,College of Political Science,College of Social Science,Scholarship,Comparative Cultures and Politics,29480
AL,Mobile,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Packaging,6089
AL,Mobile,College of Agriculture and Natural Resources,College of Music,Scholarship,Packaging,3209
AL,Mobile,College of Agriculture and Natural Resources,College of Music,Scholarship,Packaging,15580
WA,Seattle,College of Natural Science,College of Natural Science,Scholarship,Biomedical Laboratory Science,3726
WA,Seattle,College of Natural Science,Diversity Fund,Endowment,Biomedical Laboratory Science,6379
WA,Seattle,College of Natural Science,University Annual Fund,Endowment,Biomedical Laboratory Science,20021
NH,Manchester,College of Social Science,Diversity Fund,Endowment,Global & Area Studies - Soc Sci,427
NH,Manchester,College of Social Science,Campus Museums,Campus Resource,Global & Area Studies - Soc Sci,6238
NH,Manchester,College of Social Science,College of Natural Science,Scholarship,Global & Area Studies - Soc Sci,20242
TX,Austin,College of Social Science,Alumni Association,Campus Resource,Interdisciplinary Studies in Social Science,7970
TX,Austin,College of Social Science,College of Natural Science,Scholarship,Interdisciplinary Studies in Social Science,5386
TX,Austin,College of Social Science,College of Natural Science,Scholarship,Interdisciplinary Studies in Social Science,18787
NV,Henderson,College of Natural Science,College of Communication Arts and Sciences,Scholarship,Astrophysics,1300
NV,Henderson,College of Natural Science,University Annual Fund,Endowment,Astrophysics,4287
NV,Henderson,College of Natural Science,College of Arts and Sciences,Scholarship,Astrophysics,12871
NY,New York,College of Business,College of Agriculture and Natural Resources,Scholarship,Marketing,5842
NY,New York,College of Business,College of Agriculture and Natural Resources,Scholarship,Marketing,11012
NY,New York,College of Business,College of Arts and Sciences,Scholarship,Marketing,21891
DC,Washington,College of Social Science,Faculty Chair Endowments,Endowment,Psychology,6567
DC,Washington,College of Social Science,College of Engineering,Scholarship,Psychology,5506
DC,Washington,College of Social Science,University Annual Fund,Endowment,Psychology,19698
NE,Omaha,College of Social Science,University Annual Fund,Endowment,Human Development and Family Studies,9818
NE,Omaha,College of Social Science,Diversity Fund,Endowment,Human Development and Family Studies,1069
NE,Omaha,College of Social Science,University Annual Fund,Endowment,Human Development and Family Studies,29538
TX,Dallas,College of Business,Trustees Fund,Endowment,General Management,1950
TX,Dallas,College of Business,Diversity Fund,Endowment,General Management,3861
TX,Dallas,College of Business,Parents Association,Campus Resource,General Management,17777
UT,Salt Lake City,College of Engineering,Athletics,Campus Resource,Biosystems Engineering,4782
UT,Salt Lake City,College of Engineering,College of Natural Science,Scholarship,Biosystems Engineering,2977
UT,Salt Lake City,College of Engineering,Diversity Fund,Endowment,Biosystems Engineering,26438
TX,San Antonio,College of Natural Science,Campus Recreation,Campus Resource,Statistics,11162
TX,San Antonio,College of Natural Science,In-State Scholarship Fund,Scholarship,Statistics,2798
TX,San Antonio,College of Natural Science,Diversity Fund,Endowment,Statistics,25562
CO,Colorado Springs,College of Social Science,College of Engineering,Scholarship,Interdisciplinary Studies in Social Science,2201
CO,Colorado Springs,College of Social Science,Trustees Fund,Endowment,Interdisciplinary Studies in Social Science,10112
CO,Colorado Springs,College of Social Science,Faculty Chair Endowments,Endowment,Interdisciplinary Studies in Social Science,12657
CO,Denver,College of Social Science,Minority Scholarship Fund,Scholarship,Human Development and Family Studies,6237
CO,Denver,College of Social Science,Trustees Fund,Endowment,Human Development and Family Studies,14034
CO,Denver,College of Social Science,College of Natural Science,Scholarship,Human Development and Family Studies,28089
IL,Chicago,College of Engineering,College of Natural Science,Scholarship,Computer Science,11970
IL,Chicago,College of Engineering,Trustees Fund,Endowment,Computer Science,10020
IL,Chicago,College of Engineering,Athletics,Campus Resource,Computer Science,15724
FL,Tallahassee,College of Agriculture and Natural Resources,College of Communication Arts and Sciences,Scholarship,Agribusiness Management,630
FL,Tallahassee,College of Agriculture and Natural Resources,Campus Recreation,Campus Resource,Agribusiness Management,2982
FL,Tallahassee,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Agribusiness Management,20445
MA,Boston,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Women's and Gender Studies,5647
MA,Boston,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Women's and Gender Studies,4374
MA,Boston,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Women's and Gender Studies,19673
AZ,Phoenix,College of Natural Science,College of Social Science,Scholarship,Physical Science Interdepartmental,5799
AZ,Phoenix,College of Natural Science,College of Social Science,Scholarship,Physical Science Interdepartmental,1703
AZ,Phoenix,College of Natural Science,College of Social Science,Scholarship,Physical Science Interdepartmental,17610
TX,Dallas,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Art Education,11499
TX,Dallas,College of Arts and Sciences,College of Social Science,Scholarship,Art Education,109
TX,Dallas,College of Arts and Sciences,Honors Program,Campus Resource,Art Education,11446
TN,Knoxville,College of Communication Arts and Sciences,College of Social Science,Scholarship,Media and Information,14
TN,Knoxville,College of Communication Arts and Sciences,College of Social Science,Scholarship,Media and Information,7330
TN,Knoxville,College of Communication Arts and Sciences,Alumni Association,Campus Resource,Media and Information,23855
TN,Memphis,College of Natural Science,University Libraries,Campus Resource,Human Biology,10973
TN,Memphis,College of Natural Science,College of Arts and Sciences,Scholarship,Human Biology,7896
TN,Memphis,College of Natural Science,Minority Scholarship Fund,Scholarship,Human Biology,13622
IN,Indianapolis,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Chinese,11824
IN,Indianapolis,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Chinese,4379
IN,Indianapolis,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Chinese,12570
KS,Overland Park,College of Music,Minority Scholarship Fund,Scholarship,Jazz Studies,2175
KS,Overland Park,College of Music,Trustees Fund,Endowment,Jazz Studies,4106
KS,Overland Park,College of Music,College of Social Science,Scholarship,Jazz Studies,23680
NV,North Las Vegas,College of Arts and Sciences,College of Social Science,Scholarship,French,6474
NV,North Las Vegas,College of Arts and Sciences,Diversity Fund,Endowment,French,160
NV,North Las Vegas,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,French,11878
NV,North Las Vegas,College of Business,Faculty Chair Endowments,Endowment,Marketing,2483
NV,North Las Vegas,College of Business,Minority Scholarship Fund,Scholarship,Marketing,1557
NV,North Las Vegas,College of Business,College of Arts and Sciences,Scholarship,Marketing,13535
MI,Lansing,College of Education,Faculty Chair Endowments,Endowment,Athletic Training,7526
MI,Lansing,College of Education,University Annual Fund,Endowment,Athletic Training,6713
MI,Lansing,College of Education,Trustees Fund,Endowment,Athletic Training,15300
FL,Orlando,College of Natural Science,College of Education,Scholarship,Neuroscience,997
FL,Orlando,College of Natural Science,Trustees Fund,Endowment,Neuroscience,1143
FL,Orlando,College of Natural Science,Diversity Fund,Endowment,Neuroscience,23412
LA,Baton Rouge,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Interior Design,5578
LA,Baton Rouge,College of Agriculture and Natural Resources,College of Communication Arts and Sciences,Scholarship,Interior Design,2069
LA,Baton Rouge,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Interior Design,20777
CA,Los Angeles,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Apparel and Textile Design,1396
CA,Los Angeles,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Apparel and Textile Design,3190
CA,Los Angeles,College of Arts and Sciences,Minority Scholarship Fund,Scholarship,Apparel and Textile Design,26456
CA,San Francisco,College of Music,College of Arts and Sciences,Scholarship,Jazz Studies,2372
CA,San Francisco,College of Music,College of Arts and Sciences,Scholarship,Jazz Studies,4770
CA,San Francisco,College of Music,College of Arts and Sciences,Scholarship,Jazz Studies,13836
CT,Hartford,College of Arts and Sciences,Diversity Fund,Endowment,Professional Writing,11813
CT,Hartford,College of Arts and Sciences,Diversity Fund,Endowment,Professional Writing,6935
CT,Hartford,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Professional Writing,14968
MO,Kansas City,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Interdisciplinary Humanities,2472
MO,Kansas City,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Interdisciplinary Humanities,8227
MO,Kansas City,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Interdisciplinary Humanities,12990
MO,Kansas City,College of Arts and Sciences,University Annual Fund,Endowment,Interdisciplinary Humanities,5574
CO,Denver,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Agribusiness Management,4608
CO,Denver,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Agribusiness Management,2278.5
CO,Denver,College of Agriculture and Natural Resources,Honors Program,Campus Resource,Agribusiness Management,24952.5
CO,Denver,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Agribusiness Management,829.5
NY,New York,College of Arts and Sciences,Diversity Fund,Endowment,Professional Writing,8019
NY,New York,College of Arts and Sciences,College of Natural Science,Scholarship,Professional Writing,9763
NY,New York,College of Arts and Sciences,College of Natural Science,Scholarship,Professional Writing,24443
NY,New York,College of Arts and Sciences,Campus Recreation,Campus Resource,Professional Writing,1278
CO,Denver,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Construction Management,9574.5
CO,Denver,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Construction Management,2425.5
CO,Denver,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Construction Management,38052
CO,Denver,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Construction Management,1578
NC,Durham,College of Music,College of Communication Arts and Sciences,Scholarship,Music,2732
NC,Durham,College of Music,Faculty Chair Endowments,Endowment,Music,2931
NC,Durham,College of Music,College of Social Science,Scholarship,Music,14449
NC,Durham,College of Music,College of Engineering,Scholarship,Music,1362
NC,Charlotte,College of Education,University Libraries,Campus Resource,Special Education-Learning Disabilities,10295
NC,Charlotte,College of Education,College of Arts and Sciences,Scholarship,Special Education-Learning Disabilities,274
NC,Charlotte,College of Education,Faculty Chair Endowments,Endowment,Special Education-Learning Disabilities,12752
NC,Charlotte,College of Education,Faculty Chair Endowments,Endowment,Special Education-Learning Disabilities,964
NJ,Paterson,College of Natural Science,Trustees Fund,Endowment,Zoology,1601
NJ,Paterson,College of Natural Science,Faculty Chair Endowments,Endowment,Zoology,3826
NJ,Paterson,College of Natural Science,College of Nursing,Scholarship,Zoology,29538
NJ,Paterson,College of Natural Science,In-State Scholarship Fund,Scholarship,Zoology,8893
KS,Wichita,College of Natural Science,Diversity Fund,Endowment,Chemical Physics,5965
KS,Wichita,College of Natural Science,University Annual Fund,Endowment,Chemical Physics,299
KS,Wichita,College of Natural Science,College of Natural Science,Scholarship,Chemical Physics,14254
KS,Wichita,College of Natural Science,College of Social Science,Scholarship,Chemical Physics,3691
CA,San Francisco,College of Arts and Sciences,Trustees Fund,Endowment,Art History and Visual Culture,811
CA,San Francisco,College of Arts and Sciences,Campus Recreation,Campus Resource,Art History and Visual Culture,11783
CA,San Francisco,College of Arts and Sciences,Diversity Fund,Endowment,Art History and Visual Culture,13292
CA,San Francisco,College of Arts and Sciences,Trustees Fund,Endowment,Art History and Visual Culture,4846
LA,New Orleans,College of Arts and Sciences,Minority Scholarship Fund,Scholarship,Apparel and Textile Design,946
LA,New Orleans,College of Arts and Sciences,Diversity Fund,Endowment,Apparel and Textile Design,11162
LA,New Orleans,College of Arts and Sciences,College of Social Science,Scholarship,Apparel and Textile Design,20967
LA,New Orleans,College of Arts and Sciences,College of Social Science,Scholarship,Apparel and Textile Design,7681
IL,Chicago,College of Education,Faculty Chair Endowments,Endowment,Kinesiology,11103
IL,Chicago,College of Education,Alumni Association,Campus Resource,Kinesiology,4358
IL,Chicago,College of Education,University Libraries,Campus Resource,Kinesiology,12475
IL,Chicago,College of Education,College of Arts and Sciences,Scholarship,Kinesiology,3641
NY,New York,College of Social Science,University Annual Fund,Endowment,Criminal Justice,5849
NY,New York,College of Social Science,University Annual Fund,Endowment,Criminal Justice,6622
NY,New York,College of Social Science,Campus Museums,Campus Resource,Criminal Justice,20211
NY,New York,College of Social Science,College of Social Science,Scholarship,Criminal Justice,2228
WY,Casper,College of Arts and Sciences,University Annual Fund,Endowment,Studio Art,1451
WY,Casper,College of Arts and Sciences,Trustees Fund,Endowment,Studio Art,4374
WY,Casper,College of Arts and Sciences,University Annual Fund,Endowment,Studio Art,21763
WY,Casper,College of Arts and Sciences,University Libraries,Campus Resource,Studio Art,9411
VA,Alexandria,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Professional Writing,3858
VA,Alexandria,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Professional Writing,5148
VA,Alexandria,College of Arts and Sciences,College of Social Science,Scholarship,Professional Writing,14097
VA,Alexandria,College of Arts and Sciences,Parents Association,Campus Resource,Professional Writing,2525
TN,Memphis,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Global Studies in the Arts and Humanities,11886
TN,Memphis,College of Arts and Sciences,University Annual Fund,Endowment,Global Studies in the Arts and Humanities,6818
TN,Memphis,College of Arts and Sciences,Honors Program,Campus Resource,Global Studies in the Arts and Humanities,14618
TN,Memphis,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Global Studies in the Arts and Humanities,3354
AZ,Scottsdale,College of Natural Science,Trustees Fund,Endowment,Biochemistry and Molecular Biology/Biotechnology,833
AZ,Scottsdale,College of Natural Science,Alumni Association,Campus Resource,Biochemistry and Molecular Biology/Biotechnology,4999
AZ,Scottsdale,College of Natural Science,Alumni Association,Campus Resource,Biochemistry and Molecular Biology/Biotechnology,17153
AZ,Scottsdale,College of Natural Science,Minority Scholarship Fund,Scholarship,Biochemistry and Molecular Biology/Biotechnology,5689
CA,San Diego,College of Music,Minority Scholarship Fund,Scholarship,Composition,7333
CA,San Diego,College of Music,College of Social Science,Scholarship,Composition,5189
CA,San Diego,College of Music,University Annual Fund,Endowment,Composition,25464
CA,San Diego,College of Music,Trustees Fund,Endowment,Composition,3596
OH,Cincinnati,College of Arts and Sciences,University Annual Fund,Endowment,Apparel and Textiles,3475
OH,Cincinnati,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Apparel and Textiles,2537
OH,Cincinnati,College of Arts and Sciences,College of Social Science,Scholarship,Apparel and Textiles,25348
OH,Cincinnati,College of Arts and Sciences,University Annual Fund,Endowment,Apparel and Textiles,450
CA,Anaheim,College of Natural Science,Diversity Fund,Endowment,Neuroscience,9874
CA,Anaheim,College of Natural Science,College of Natural Science,Scholarship,Neuroscience,3937
CA,Anaheim,College of Natural Science,College of Natural Science,Scholarship,Neuroscience,15269
CA,Anaheim,College of Natural Science,College of Arts and Sciences,Scholarship,Neuroscience,6892
MI,Detroit,College of Agriculture and Natural Resources,Minority Scholarship Fund,Scholarship,Animal Science,3704
MI,Detroit,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Animal Science,5009
MI,Detroit,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Animal Science,17906
MI,Detroit,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Animal Science,3485
AL,Mobile,College of Veterinary Medicine,University Annual Fund,Endowment,Preveterinary,77
CO,Denver,College of Social Science,Diversity Fund,Endowment,Economics,11331
AL,Birmingham,College of Arts and Sciences,College of Natural Science,Scholarship,Professional Writing,2448
MA,Boston,College of Arts and Sciences,College of Natural Science,Scholarship,German,7276
CA,Los Angeles,College of Social Science,College of Natural Science,Scholarship,Public Policy,3889
TX,Dallas,College of Communication Arts and Sciences,Faculty Chair Endowments,Endowment,Advertising,1717
CA,San Francisco,College of Natural Science,College of Natural Science,Scholarship,Biological Science Interdepartmental,1584
CA,Fresno,College of Arts and Sciences,University Annual Fund,Endowment,German,7844
AZ,Phoenix,College of Social Science,Diversity Fund,Endowment,Interdisciplinary Studies in Social Science - Social Science Education,2931
CT,Hartford,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Astrophysics,6643
WI,Madison,College of Arts and Sciences,College of Social Science,Scholarship,Studio Art,7061
CO,Denver,College of Nursing,College of Agriculture and Natural Resources,Scholarship,Summer Research Program,5110.5
MI,Detroit,College of Political Science,College of Business,Scholarship,Social Relations and Policy,4371
FL,Orlando,College of Arts and Sciences,Diversity Fund,Endowment,Theatre,4713
CA,Fresno,College of Political Science,Faculty Chair Endowments,Endowment,Political Theory and Constitutional Democracy,158
VA,Richmond,College of Political Science,Faculty Chair Endowments,Endowment,Political Theory and Constitutional Democracy,5750
DC,Washington,College of Engineering,Diversity Fund,Endowment,Computer Science,3303
NV,Henderson,College of Agriculture and Natural Resources,Campus Museums,Campus Resource,Packaging,5368
MI,Detroit,College of Natural Science,Campus Recreation,Campus Resource,Neuroscience,9735
IL,Chicago,College of Agriculture and Natural Resources,Campus Recreation,Campus Resource,Animal Science,1536
OK,Oklahoma City,College of Social Science,Alumni Association,Campus Resource,History,6721
TN,Nashville,College of Social Science,College of Political Science,Scholarship,Social Work,1024
NE,Lincoln,College of Arts and Sciences,University Annual Fund,Endowment,German,8294
CT,Hartford,College of Natural Science,Diversity Fund,Endowment,Neuroscience,1317
MI,Grand Rapids,College of Social Science,College of Natural Science,Scholarship,Human Development and Family Studies,4022
IL,Chicago,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Fisheries and Wildlife,2587
CO,Denver,College of Social Science,Faculty Chair Endowments,Endowment,Human Development and Family Studies,6114
CO,Denver,College of Arts and Sciences,Diversity Fund,Endowment,Studio Art,5644.5
CO,Colorado Springs,College of Natural Science,University Annual Fund,Endowment,Genomics & Molecular Genetics,8823
CT,Hartford,College of Arts and Sciences,Athletics,Campus Resource,Global Studies in the Arts and Humanities,331
NE,Omaha,College of Arts and Sciences,College of Social Science,Scholarship,English,3172
NM,Albuquerque,College of Music,College of Social Science,Scholarship,Composition,6598
NY,New York,College of Social Science,University Annual Fund,Endowment,Sociology,6141
OH,Cincinnati,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Interdisciplinary Humanities,1328
AZ,Mesa,College of Political Science,University Libraries,Campus Resource,Comparative Cultures and Politics,7837
WI,Madison,College of Arts and Sciences,Trustees Fund,Endowment,Apparel and Textile Design,340
CO,Denver,College of Social Science,Trustees Fund,Endowment,Anthropology,9916.5
CA,San Francisco,College of Music,University Annual Fund,Endowment,Jazz Studies,908
RI,Providence,College of Social Science,College of Communication Arts and Sciences,Scholarship,History Education,2810
NE,Omaha,College of Arts and Sciences,College of Engineering,Scholarship,Japanese,1492
TN,Knoxville,College of Music,Faculty Chair Endowments,Endowment,Music Performance,5554
NV,Henderson,College of Social Science,College of Natural Science,Scholarship,Psychology,2966
RI,Providence,College of Arts and Sciences,Parents Association,Campus Resource,Spanish,548
TN,Memphis,College of Natural Science,College of Arts and Sciences,Scholarship,Neuroscience,8345
IA,Cedar Rapids,College of Natural Science,University Annual Fund,Endowment,Chemical Physics,9229
AZ,Phoenix,College of Social Science,Trustees Fund,Endowment,Global & Area Studies - Soc Sci,2088
TX,Houston,College of Arts and Sciences,College of Communication Arts and Sciences,Scholarship,French,8762
CO,Denver,College of Agriculture and Natural Resources,College of Communication Arts and Sciences,Scholarship,Entomology,7428
CO,Denver,College of Music,Trustees Fund,Endowment,Music Performance,5394
NY,New York,College of Natural Science,Campus Museums,Campus Resource,Environmental Biology/Microbiology,9652
TX,Austin,College of Music,Honors Program,Campus Resource,Jazz Studies,9607
TX,Austin,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Environmental Studies and Agriscience,7244
CA,San Francisco,College of Communication Arts and Sciences,College of Social Science,Scholarship,Media and Information,2307
CA,Fresno,College of Social Science,Trustees Fund,Endowment,Geography,6142
IN,Indianapolis,College of Political Science,Alumni Association,Campus Resource,College of Political Science,9246
GA,Atlanta,College of Engineering,College of Natural Science,Scholarship,Computer Engineering,9529
CA,San Diego,College of Social Science,College of Natural Science,Scholarship,Geography,531
AR,Little Rock,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Geography,2926
NE,Lincoln,College of Engineering,Minority Scholarship Fund,Scholarship,Electrical Engineering,9362
TX,Houston,College of Agriculture and Natural Resources,Diversity Fund,Endowment,Fisheries and Wildlife,9873
CO,Denver,College of Political Science,Faculty Chair Endowments,Endowment,Comparative Cultures and Politics,14221.5
CA,San Diego,College of Social Science,Parents Association,Campus Resource,Political Science-Prelaw,8731
KS,Wichita,College of Social Science,Minority Scholarship Fund,Scholarship,Sociology,8414
CO,Denver,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Studio Art,13590
NV,Las Vegas,College of Music,Faculty Chair Endowments,Endowment,Composition,3254
CA,San Francisco,College of Social Science,Diversity Fund,Endowment,Public Policy,8935
CA,San Francisco,College of Arts and Sciences,University Libraries,Campus Resource,Japanese,151
FL,Miami,College of Social Science,College of Arts and Sciences,Scholarship,Psychology,9908
CO,Denver,College of Agriculture and Natural Resources,Alumni Association,Campus Resource,Food Science,7138.5
CO,Colorado Springs,College of Natural Science,College of Political Science,Scholarship,Geological Sciences,9631
GA,Savannah,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Humanities-Prelaw,36
TX,Amarillo,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Art Education,1815
CT,New Haven,College of Social Science,Faculty Chair Endowments,Endowment,Social Work,1106
MI,Grand Rapids,College of Arts and Sciences,College of Business,Scholarship,Experience Architecture,3207
CO,Denver,College of Arts and Sciences,College of Business,Scholarship,Professional Writing,10195.5
IN,Indianapolis,College of Social Science,Campus Recreation,Campus Resource,Anthropology,9381
CA,San Diego,College of Engineering,Campus Recreation,Campus Resource,Materials Science and Engineering,873
VA,Richmond,College of Agriculture and Natural Resources,Minority Scholarship Fund,Scholarship,Animal Science,7896
NV,North Las Vegas,College of Engineering,Honors Program,Campus Resource,Computer Science,6318
CT,Hartford,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Landscape Architecture,3885
AR,Little Rock,College of Social Science,College of Education,Scholarship,Interdisciplinary Studies in Social Science,6157
NH,Manchester,College of Social Science,College of Education,Scholarship,Interdisciplinary Studies in Social Science,379
WA,Seattle,College of Arts and Sciences,College of Education,Scholarship,Chinese,8568
NY,New York,College of Social Science,University Annual Fund,Endowment,Psychology,2277
NC,Raleigh,College of Natural Science,Alumni Association,Campus Resource,Geological Sciences,1208
MI,Lansing,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Food Industry Management,8149
FL,Fort Lauderdale,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Experience Architecture,5107
